,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-mpg,price,horsepower-binned,diesel,gas
11,0,188,bmw,std,two,sedan,rwd,front,101.2,0.22296079899535406,0.375,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,20970.0,Medium,0,1
12,0,188,bmw,std,four,sedan,rwd,front,101.2,0.22296079899535406,0.375,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,21105.0,Medium,0,1
13,1,122,bmw,std,four,sedan,rwd,front,103.5,1.211832865474168,0.5500000000000007,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,25,24565.0,Medium,0,1
14,0,122,bmw,std,four,sedan,rwd,front,103.5,1.211832865474168,0.5500000000000007,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,22,30760.0,Medium,0,1
15,0,122,bmw,std,two,sedan,rwd,front,103.5,1.6008972850723913,0.6333333333333341,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,14.6875,22,41315.0,Medium,0,1
16,0,122,bmw,std,four,sedan,rwd,front,110.0,1.8602735648045383,0.8833333333333341,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400.0,15.666666666666666,20,36880.0,Medium,0,1
17,2,121,chevrolet,std,two,hatchback,fwd,front,88.4,-2.6707058217664255,0.0,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100.0,5.0,53,5151.0,Low,0,1
18,1,98,chevrolet,std,two,hatchback,fwd,front,94.5,-1.471090528005239,0.27500000000000036,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,43,6295.0,Low,0,1
19,0,81,chevrolet,std,four,sedan,fwd,front,94.5,-1.2360307744979793,0.27500000000000036,52.0,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400.0,6.184210526315789,43,6575.0,Low,0,1
20,1,118,dodge,std,two,hatchback,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500.0,6.351351351351352,41,5572.0,Low,0,1
21,1,118,dodge,std,two,hatchback,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.8,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6377.0,Low,0,1
22,1,118,dodge,turbo,two,hatchback,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.8,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,7957.0,Low,0,1
23,1,148,dodge,std,four,hatchback,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6229.0,Low,0,1
24,1,148,dodge,std,four,sedan,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6692.0,Low,0,1
25,1,148,dodge,std,four,sedan,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.6,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,7609.0,Low,0,1
26,1,148,dodge,turbo,four,sedan,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.6,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,8558.0,Low,0,1
27,-1,110,dodge,std,four,wagon,fwd,front,103.3,0.04463960667950082,0.3583333333333331,59.8,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000.0,9.791666666666666,30,8921.0,Low,0,1
28,3,145,dodge,turbo,two,hatchback,fwd,front,95.9,-0.06883751570331446,0.5,50.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145,5000.0,12.368421052631579,24,12964.0,Medium,0,1
29,2,137,honda,std,two,hatchback,fwd,front,86.6,-2.387013015809388,0.3000000000000001,50.8,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800.0,4.795918367346939,54,6479.0,Low,0,1
30,2,137,honda,std,two,hatchback,fwd,front,86.6,-2.387013015809388,0.3000000000000001,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.580645161290323,38,6855.0,Low,0,1
31,1,101,honda,std,two,hatchback,fwd,front,93.7,-1.9493155437613878,0.30833333333333357,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500.0,6.184210526315789,42,5399.0,Low,0,1
32,1,101,honda,std,two,hatchback,fwd,front,93.7,-1.9493155437613878,0.30833333333333357,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,34,6529.0,Low,0,1
33,1,101,honda,std,two,hatchback,fwd,front,93.7,-1.9493155437613878,0.30833333333333357,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,34,7129.0,Low,0,1
34,0,110,honda,std,four,sedan,fwd,front,96.5,-0.8631773723830168,0.30833333333333357,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000.0,7.833333333333333,34,7295.0,Low,0,1
35,0,78,honda,std,four,wagon,fwd,front,96.5,-1.3738244231056844,0.3000000000000001,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000.0,7.833333333333333,34,7295.0,Low,0,1
36,0,106,honda,std,two,hatchback,fwd,front,96.5,-0.5308515139762024,0.4083333333333338,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,7895.0,Low,0,1
37,0,106,honda,std,two,hatchback,fwd,front,96.5,-0.5308515139762024,0.4083333333333338,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,9095.0,Low,0,1
38,0,85,honda,std,four,sedan,fwd,front,96.5,0.10948367661253879,0.4083333333333338,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,8845.0,Low,0,1
39,0,85,honda,std,four,sedan,fwd,front,96.5,0.10948367661253879,0.18333333333333357,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800.0,8.703703703703704,33,10295.0,Low,0,1
40,0,85,honda,std,four,sedan,fwd,front,96.5,0.10948367661253879,0.4083333333333338,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800.0,9.791666666666666,28,12945.0,Low,0,1
41,1,107,honda,std,two,sedan,fwd,front,96.5,-0.4011633741101288,0.47500000000000026,51.0,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500.0,9.4,31,10345.0,Low,0,1
42,0,122,isuzu,std,four,sedan,rwd,front,94.3,-0.27147523424405523,0.125,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800.0,9.791666666666666,29,6785.0,Low,0,1
43,2,122,isuzu,std,two,hatchback,rwd,front,96.0,-0.11747056815309177,0.4083333333333338,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000.0,9.791666666666666,29,11048.0,Low,0,1
44,0,145,jaguar,std,four,sedan,rwd,front,113.0,2.0710167920869083,0.7749999999999998,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,19,32250.0,Medium,0,1
45,0,122,jaguar,std,four,sedan,rwd,front,113.0,2.0710167920869083,0.7749999999999998,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750.0,15.666666666666666,19,35550.0,Medium,0,1
46,0,122,jaguar,std,two,sedan,rwd,front,102.0,1.4306816014981671,0.8583333333333331,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000.0,18.076923076923077,17,36000.0,High,0,1
47,1,104,mazda,std,two,hatchback,fwd,front,93.1,-1.2117142482730918,0.32500000000000046,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.833333333333333,31,5195.0,Low,0,1
48,1,104,mazda,std,two,hatchback,fwd,front,93.1,-1.2117142482730918,0.32500000000000046,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,38,6095.0,Low,0,1
49,1,104,mazda,std,two,hatchback,fwd,front,93.1,-1.2117142482730918,0.32500000000000046,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,38,6795.0,Low,0,1
50,1,113,mazda,std,four,sedan,fwd,front,93.1,-0.587590075167609,0.32500000000000046,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000.0,7.580645161290323,38,6695.0,Low,0,1
51,1,113,mazda,std,four,sedan,fwd,front,93.1,-0.587590075167609,0.32500000000000046,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000.0,7.580645161290323,38,7395.0,Low,0,1
52,3,150,mazda,std,two,hatchback,rwd,front,95.3,-0.409268882851758,0.45000000000000046,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,,9.4,101,6000.0,13.823529411764707,23,10945.0,Low,0,1
53,3,150,mazda,std,two,hatchback,rwd,front,95.3,-0.409268882851758,0.45000000000000046,49.6,2380,rotor,two,70,4bbl,3.3297512437810957,,9.4,101,6000.0,13.823529411764707,23,11845.0,Low,0,1
54,3,150,mazda,std,two,hatchback,rwd,front,95.3,-0.409268882851758,0.45000000000000046,49.6,2385,rotor,two,70,4bbl,3.3297512437810957,,9.4,101,6000.0,13.823529411764707,23,13645.0,Low,0,1
55,3,150,mazda,std,two,hatchback,rwd,front,95.3,-0.409268882851758,0.45000000000000046,49.6,2500,rotor,two,80,mpfi,3.3297512437810957,,9.4,135,6000.0,14.6875,23,15645.0,Medium,0,1
56,1,129,mazda,std,two,hatchback,fwd,front,98.8,0.3040158864116504,0.5166666666666669,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,8845.0,Low,0,1
57,0,115,mazda,std,four,sedan,fwd,front,98.8,0.3040158864116504,0.5166666666666669,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,8495.0,Low,0,1
58,1,129,mazda,std,two,hatchback,fwd,front,98.8,0.3040158864116504,0.5166666666666669,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,10595.0,Low,0,1
59,0,115,mazda,std,four,sedan,fwd,front,98.8,0.3040158864116504,0.5166666666666669,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,10245.0,Low,0,1
60,0,122,mazda,std,four,sedan,fwd,front,98.8,0.3040158864116504,0.5166666666666669,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650.0,6.527777777777778,42,10795.0,Low,1,0
61,0,115,mazda,std,four,hatchback,fwd,front,98.8,0.3040158864116504,0.5166666666666669,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800.0,9.038461538461538,32,11245.0,Low,0,1
62,0,118,mazda,std,four,sedan,rwd,front,104.9,0.07706164164601981,0.4833333333333331,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120,5000.0,12.368421052631579,27,18280.0,Medium,0,1
63,0,122,mazda,std,four,sedan,rwd,front,104.9,0.07706164164601981,0.4833333333333331,54.4,2700,ohc,four,134,idi,3.43,3.64,22.0,72,4200.0,7.580645161290323,39,18344.0,Low,1,0
64,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,110.0,1.3658375315651314,0.8333333333333334,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,25552.0,Medium,1,0
65,-1,93,mercedes-benz,turbo,four,wagon,rwd,front,110.0,1.3658375315651314,0.8333333333333334,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,28248.0,Medium,1,0
66,0,93,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,1.0902502343497236,0.8333333333333334,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,28176.0,Medium,1,0
67,-1,93,mercedes-benz,turbo,four,sedan,rwd,front,115.6,2.3141820543357974,0.9500000000000005,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350.0,10.681818181818182,25,31600.0,Medium,1,0
68,-1,122,mercedes-benz,std,four,sedan,rwd,front,115.6,2.3141820543357974,0.9500000000000005,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,18,34184.0,Medium,0,1
69,3,142,mercedes-benz,std,two,convertible,rwd,front,96.6,0.5066536049523911,0.8500000000000002,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750.0,14.6875,18,35056.0,Medium,0,1
70,0,122,mercedes-benz,std,four,sedan,rwd,front,120.9,2.759985035125427,0.9500000000000005,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,16,40960.0,Medium,0,1
71,1,122,mercedes-benz,std,two,hardtop,rwd,front,112.0,2.0385947571203893,0.9750000000000002,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184,4500.0,16.785714285714285,16,45400.0,Medium,0,1
72,1,122,mercury,turbo,two,hatchback,rwd,front,102.7,0.3526489388614277,0.6416666666666669,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175,5000.0,12.368421052631579,24,16503.0,Medium,0,1
73,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,-1.3576134056224238,0.3416666666666674,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,6.351351351351352,41,5389.0,Low,0,1
74,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,-1.3576134056224238,0.3416666666666674,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6189.0,Low,0,1
75,2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,-1.3576134056224238,0.3416666666666674,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6669.0,Low,0,1
76,1,161,mitsubishi,turbo,two,hatchback,fwd,front,93.0,-1.3576134056224238,0.2916666666666667,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,7689.0,Low,0,1
77,3,153,mitsubishi,turbo,two,hatchback,fwd,front,96.3,-0.0850485331865728,0.4250000000000007,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,30,9959.0,Low,0,1
78,3,153,mitsubishi,std,two,hatchback,fwd,front,96.3,-0.0850485331865728,0.4250000000000007,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,32,8499.0,Low,0,1
79,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,-0.06883751570331446,0.5,50.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145,5000.0,12.368421052631579,24,12629.0,Medium,0,1
80,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,-0.06883751570331446,0.5,50.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,24,14869.0,Medium,0,1
81,3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,-0.06883751570331446,0.5,50.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,24,14489.0,Medium,0,1
82,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,-0.1336815856363501,0.4250000000000007,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,32,6989.0,Low,0,1
83,1,125,mitsubishi,std,four,sedan,fwd,front,96.3,-0.1336815856363501,0.4250000000000007,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.4,32,8189.0,Low,0,1
84,1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,-0.1336815856363501,0.4250000000000007,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,30,9279.0,Low,0,1
85,-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,-0.1336815856363501,0.4250000000000007,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500.0,10.217391304347826,30,9279.0,Low,0,1
86,1,128,nissan,std,two,sedan,fwd,front,94.5,-0.7091727062920534,0.2916666666666667,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,5499.0,Low,0,1
87,1,128,nissan,std,two,sedan,fwd,front,94.5,-0.7091727062920534,0.2916666666666667,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800.0,5.222222222222222,50,7099.0,Low,1,0
88,1,128,nissan,std,two,sedan,fwd,front,94.5,-0.7091727062920534,0.2916666666666667,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,6649.0,Low,0,1
89,1,122,nissan,std,four,sedan,fwd,front,94.5,-0.7091727062920534,0.2916666666666667,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,6849.0,Low,0,1
90,1,103,nissan,std,four,wagon,fwd,front,94.5,-0.3120027779522034,0.2916666666666667,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7349.0,Low,0,1
91,1,128,nissan,std,two,sedan,fwd,front,94.5,-0.7091727062920534,0.2916666666666667,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7299.0,Low,0,1
92,1,128,nissan,std,two,hatchback,fwd,front,94.5,-0.6848561800671659,0.2916666666666667,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7799.0,Low,0,1
93,1,122,nissan,std,four,sedan,fwd,front,94.5,-0.7091727062920534,0.2916666666666667,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7499.0,Low,0,1
94,1,103,nissan,std,four,wagon,fwd,front,94.5,-0.3120027779522034,0.2916666666666667,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,7999.0,Low,0,1
95,2,168,nissan,std,two,hardtop,fwd,front,95.1,-0.9442324597993131,0.2916666666666667,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200.0,7.580645161290323,37,8249.0,Low,0,1
96,0,106,nissan,std,four,hatchback,fwd,front,97.2,-0.052626498220053816,0.4083333333333338,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,34,8949.0,Low,0,1
97,0,106,nissan,std,four,sedan,fwd,front,97.2,-0.052626498220053816,0.4083333333333338,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200.0,8.703703703703704,34,9549.0,Low,0,1
98,0,128,nissan,std,four,sedan,fwd,front,100.4,0.6201307273352041,0.5166666666666669,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,22,13499.0,Medium,0,1
99,0,108,nissan,std,four,wagon,fwd,front,100.4,0.8551904808424639,0.5166666666666669,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,13.823529411764707,22,14399.0,Medium,0,1
100,0,108,nissan,std,four,sedan,fwd,front,100.4,0.8551904808424639,0.5166666666666669,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152,5200.0,12.368421052631579,25,13499.0,Medium,0,1
101,3,194,nissan,std,two,hatchback,rwd,front,91.3,-0.27147523424405523,0.6333333333333341,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.368421052631579,25,17199.0,Medium,0,1
102,3,194,nissan,turbo,two,hatchback,rwd,front,91.3,-0.27147523424405523,0.6333333333333341,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200.0,13.823529411764707,23,19699.0,High,0,1
103,1,231,nissan,std,two,hatchback,rwd,front,99.2,0.36075444760305686,0.6333333333333341,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160,5200.0,12.368421052631579,25,18399.0,Medium,0,1
104,0,161,peugot,std,four,sedan,rwd,front,107.9,1.0254061644166856,0.6750000000000007,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,24,11900.0,Low,0,1
105,0,161,peugot,turbo,four,sedan,rwd,front,107.9,1.0254061644166856,0.6750000000000007,56.7,3197,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,33,13200.0,Low,1,0
106,0,122,peugot,std,four,wagon,rwd,front,114.2,2.014278230895502,0.6750000000000007,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,24,12440.0,Low,0,1
107,0,122,peugot,turbo,four,wagon,rwd,front,114.2,2.014278230895502,0.6750000000000007,58.7,3430,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.4,25,13860.0,Low,1,0
108,0,161,peugot,std,four,sedan,rwd,front,107.9,1.0254061644166856,0.6750000000000007,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,12.368421052631579,24,15580.0,Low,0,1
109,0,161,peugot,turbo,four,sedan,rwd,front,107.9,1.0254061644166856,0.6750000000000007,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,33,16900.0,Low,1,0
110,0,122,peugot,std,four,wagon,rwd,front,114.2,2.014278230895502,0.6750000000000007,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000.0,12.368421052631579,24,16695.0,Low,0,1
111,0,122,peugot,turbo,four,wagon,rwd,front,114.2,2.014278230895502,0.6750000000000007,58.7,3485,l,four,152,idi,3.7,3.52,21.0,95,4150.0,9.4,25,17075.0,Low,1,0
112,0,161,peugot,std,four,sedan,rwd,front,107.9,1.0254061644166856,0.6750000000000007,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000.0,12.368421052631579,24,16630.0,Low,0,1
113,0,161,peugot,turbo,four,sedan,rwd,front,107.9,1.0254061644166856,0.6750000000000007,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150.0,8.392857142857142,33,17950.0,Low,1,0
114,0,161,peugot,turbo,four,sedan,rwd,front,108.0,1.0254061644166856,0.6666666666666666,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600.0,13.055555555555555,24,18150.0,Medium,0,1
115,1,119,plymouth,std,two,hatchback,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,6.351351351351352,41,5572.0,Low,0,1
116,1,119,plymouth,turbo,two,hatchback,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500.0,9.791666666666666,30,7957.0,Low,0,1
117,1,154,plymouth,std,four,hatchback,fwd,front,93.7,-1.3576134056224238,0.2916666666666667,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6229.0,Low,0,1
118,1,154,plymouth,std,four,sedan,fwd,front,93.7,-0.5470625314594608,0.2916666666666667,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,6692.0,Low,0,1
119,1,154,plymouth,std,four,sedan,fwd,front,93.7,-0.5470625314594608,0.2916666666666667,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500.0,7.580645161290323,38,7609.0,Low,0,1
120,-1,74,plymouth,std,four,wagon,fwd,front,103.3,0.04463960667950082,0.3583333333333331,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000.0,9.791666666666666,30,8921.0,Low,0,1
121,3,122,plymouth,turbo,two,hatchback,rwd,front,95.9,-0.06883751570331446,0.5,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000.0,12.368421052631579,24,12764.0,Medium,0,1
122,3,186,porsche,std,two,hatchback,rwd,front,94.5,-0.4173743915933872,0.6666666666666666,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500.0,12.368421052631579,27,22018.0,Medium,0,1
123,3,122,porsche,std,two,hardtop,rwd,rear,89.5,-0.4173743915933872,0.3916666666666669,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,13.823529411764707,25,32528.0,High,0,1
124,3,122,porsche,std,two,hardtop,rwd,rear,89.5,-0.4173743915933872,0.3916666666666669,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,13.823529411764707,25,34028.0,High,0,1
125,3,122,porsche,std,two,convertible,rwd,rear,89.5,-0.4173743915933872,0.3916666666666669,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900.0,13.823529411764707,25,37028.0,High,0,1
